Path,Label
28-05-2024\ASC-H\11470.png,ASC-H
28-05-2024\ASC-H\11471.png,ASC-H
28-05-2024\ASC-H\11472.png,ASC-H
28-05-2024\ASC-H\7716.png,ASC-H
28-05-2024\ASC-H\7717.png,ASC-H
28-05-2024\ASC-H\7718.png,ASC-H
28-05-2024\ASC-H\7727.png,ASC-H
28-05-2024\ASC-H\7793.png,ASC-H
28-05-2024\ASC-H\7826.png,ASC-H
28-05-2024\ASC-H\7827.png,ASC-H
28-05-2024\ASC-H\7980.png,ASC-H
28-05-2024\ASC-H\8112.png,ASC-H
28-05-2024\ASC-H\8113.png,ASC-H
28-05-2024\ASC-H\8114.png,ASC-H
28-05-2024\ASC-H\8117.png,ASC-H
28-05-2024\ASC-H\8118.png,ASC-H
28-05-2024\ASC-H\8119.png,ASC-H
28-05-2024\ASC-H\8120.png,ASC-H
28-05-2024\ASC-H\8121.png,ASC-H
28-05-2024\ASC-H\8122.png,ASC-H
28-05-2024\ASC-H\8125.png,ASC-H
28-05-2024\ASC-H\8131.png,ASC-H
28-05-2024\ASC-H\8138.png,ASC-H
28-05-2024\ASC-H\8139.png,ASC-H
28-05-2024\ASC-H\8140.png,ASC-H
28-05-2024\ASC-H\8141.png,ASC-H
28-05-2024\ASC-H\8142.png,ASC-H
28-05-2024\ASC-H\8143.png,ASC-H
28-05-2024\ASC-H\8144.png,ASC-H
28-05-2024\ASC-H\8145.png,ASC-H
28-05-2024\ASC-H\8146.png,ASC-H
28-05-2024\ASC-H\8147.png,ASC-H
28-05-2024\ASC-H\8148.png,ASC-H
28-05-2024\ASC-H\8149.png,ASC-H
28-05-2024\ASC-H\815.png,ASC-H
28-05-2024\ASC-H\8150.png,ASC-H
28-05-2024\ASC-H\8151.png,ASC-H
28-05-2024\ASC-H\8154.png,ASC-H
28-05-2024\ASC-H\8156.png,ASC-H
28-05-2024\ASC-H\8157.png,ASC-H
28-05-2024\ASC-H\8158.png,ASC-H
28-05-2024\ASC-H\8159.png,ASC-H
28-05-2024\ASC-H\816.png,ASC-H
28-05-2024\ASC-H\8160.png,ASC-H
28-05-2024\ASC-H\8161.png,ASC-H
28-05-2024\ASC-H\817.png,ASC-H
28-05-2024\ASC-H\818.png,ASC-H
28-05-2024\ASC-H\8188.png,ASC-H
28-05-2024\ASC-H\8189.png,ASC-H
28-05-2024\ASC-H\819.png,ASC-H
28-05-2024\ASC-H\8190.png,ASC-H
28-05-2024\ASC-H\8191.png,ASC-H
28-05-2024\ASC-H\8192.png,ASC-H
28-05-2024\ASC-H\820.png,ASC-H
28-05-2024\ASC-H\821.png,ASC-H
28-05-2024\ASC-H\9614.png,ASC-H
28-05-2024\ASC-H\9615.png,ASC-H
28-05-2024\ASC-H\9616.png,ASC-H
28-05-2024\ASC-H\9617.png,ASC-H
28-05-2024\ASC-H\9618.png,ASC-H
28-05-2024\ASC-H\9619.png,ASC-H
28-05-2024\ASC-H\9620.png,ASC-H
28-05-2024\ASC-H\9621.png,ASC-H
28-05-2024\ASC-H\9622.png,ASC-H
28-05-2024\ASC-H\9623.png,ASC-H
28-05-2024\ASC-H\9624.png,ASC-H
28-05-2024\ASC-H\9625.png,ASC-H
28-05-2024\ASC-H\9626.png,ASC-H
28-05-2024\ASC-H\9627.png,ASC-H
28-05-2024\ASC-H\9628.png,ASC-H
28-05-2024\ASC-H\9629.png,ASC-H
28-05-2024\ASC-H\9630.png,ASC-H
28-05-2024\ASC-H\9631.png,ASC-H
28-05-2024\ASC-H\9632.png,ASC-H
28-05-2024\ASC-H\9633.png,ASC-H
28-05-2024\ASC-H\9634.png,ASC-H
28-05-2024\ASC-H\9637.png,ASC-H
28-05-2024\ASC-H\9638.png,ASC-H
28-05-2024\ASC-H\9639.png,ASC-H
28-05-2024\ASC-H\9640.png,ASC-H
28-05-2024\ASC-US\10141.png,ASC-US
28-05-2024\ASC-US\10169.png,ASC-US
28-05-2024\ASC-US\10170.png,ASC-US
28-05-2024\ASC-US\10172.png,ASC-US
28-05-2024\ASC-US\10188.png,ASC-US
28-05-2024\ASC-US\10189.png,ASC-US
28-05-2024\ASC-US\10206.png,ASC-US
28-05-2024\ASC-US\10207.png,ASC-US
28-05-2024\ASC-US\10208.png,ASC-US
28-05-2024\ASC-US\10211.png,ASC-US
28-05-2024\ASC-US\10212.png,ASC-US
28-05-2024\ASC-US\10213.png,ASC-US
28-05-2024\ASC-US\10214.png,ASC-US
28-05-2024\ASC-US\10215.png,ASC-US
28-05-2024\ASC-US\10350.png,ASC-US
28-05-2024\ASC-US\10364.png,ASC-US
28-05-2024\ASC-US\10366.png,ASC-US
28-05-2024\ASC-US\10367.png,ASC-US
28-05-2024\ASC-US\10370.png,ASC-US
28-05-2024\ASC-US\10371.png,ASC-US
28-05-2024\ASC-US\10372.png,ASC-US
28-05-2024\ASC-US\10373.png,ASC-US
28-05-2024\ASC-US\10374.png,ASC-US
28-05-2024\ASC-US\10391.png,ASC-US
28-05-2024\ASC-US\10437.png,ASC-US
28-05-2024\ASC-US\10561.png,ASC-US
28-05-2024\ASC-US\10652.png,ASC-US
28-05-2024\ASC-US\10718.png,ASC-US
28-05-2024\ASC-US\10719.png,ASC-US
28-05-2024\ASC-US\10720.png,ASC-US
28-05-2024\ASC-US\10758.png,ASC-US
28-05-2024\ASC-US\10759.png,ASC-US
28-05-2024\ASC-US\10772.png,ASC-US
28-05-2024\ASC-US\10773.png,ASC-US
28-05-2024\ASC-US\10881.png,ASC-US
28-05-2024\ASC-US\10882.png,ASC-US
28-05-2024\ASC-US\10883.png,ASC-US
28-05-2024\ASC-US\10884.png,ASC-US
28-05-2024\ASC-US\10885.png,ASC-US
28-05-2024\ASC-US\10886.png,ASC-US
28-05-2024\ASC-US\10887.png,ASC-US
28-05-2024\ASC-US\1089.png,ASC-US
28-05-2024\ASC-US\1090.png,ASC-US
28-05-2024\ASC-US\1091.png,ASC-US
28-05-2024\ASC-US\10925.png,ASC-US
28-05-2024\ASC-US\10926.png,ASC-US
28-05-2024\ASC-US\10927.png,ASC-US
28-05-2024\ASC-US\10946.png,ASC-US
28-05-2024\ASC-US\10947.png,ASC-US
28-05-2024\ASC-US\10948.png,ASC-US
28-05-2024\ASC-US\10949.png,ASC-US
28-05-2024\ASC-US\10950.png,ASC-US
28-05-2024\ASC-US\10984.png,ASC-US
28-05-2024\ASC-US\10991.png,ASC-US
28-05-2024\ASC-US\11043.png,ASC-US
28-05-2024\ASC-US\11044.png,ASC-US
28-05-2024\ASC-US\11113.png,ASC-US
28-05-2024\ASC-US\11114.png,ASC-US
28-05-2024\ASC-US\11141.png,ASC-US
28-05-2024\ASC-US\11175.png,ASC-US
28-05-2024\ASC-US\11176.png,ASC-US
28-05-2024\ASC-US\11231.png,ASC-US
28-05-2024\ASC-US\11232.png,ASC-US
28-05-2024\ASC-US\11262.png,ASC-US
28-05-2024\ASC-US\11434.png,ASC-US
28-05-2024\ASC-US\11435.png,ASC-US
28-05-2024\ASC-US\11436.png,ASC-US
28-05-2024\ASC-US\11437.png,ASC-US
28-05-2024\ASC-US\11438.png,ASC-US
28-05-2024\ASC-US\11439.png,ASC-US
28-05-2024\ASC-US\11442.png,ASC-US
28-05-2024\ASC-US\11480.png,ASC-US
28-05-2024\ASC-US\11481.png,ASC-US
28-05-2024\ASC-US\11482.png,ASC-US
28-05-2024\ASC-US\11483.png,ASC-US
28-05-2024\ASC-US\11484.png,ASC-US
28-05-2024\ASC-US\11485.png,ASC-US
28-05-2024\ASC-US\11486.png,ASC-US
28-05-2024\ASC-US\11487.png,ASC-US
28-05-2024\ASC-US\11488.png,ASC-US
28-05-2024\ASC-US\11489.png,ASC-US
28-05-2024\ASC-US\11490.png,ASC-US
28-05-2024\ASC-US\11491.png,ASC-US
28-05-2024\ASC-US\11492.png,ASC-US
28-05-2024\ASC-US\1307.png,ASC-US
28-05-2024\ASC-US\1308.png,ASC-US
28-05-2024\ASC-US\1309.png,ASC-US
28-05-2024\ASC-US\1320.png,ASC-US
28-05-2024\ASC-US\1321.png,ASC-US
28-05-2024\ASC-US\1339.png,ASC-US
28-05-2024\ASC-US\1545.png,ASC-US
28-05-2024\ASC-US\1615.png,ASC-US
28-05-2024\ASC-US\1616.png,ASC-US
28-05-2024\ASC-US\1617.png,ASC-US
28-05-2024\ASC-US\1618.png,ASC-US
28-05-2024\ASC-US\1619.png,ASC-US
28-05-2024\ASC-US\1620.png,ASC-US
28-05-2024\ASC-US\1621.png,ASC-US
28-05-2024\ASC-US\1630.png,ASC-US
28-05-2024\ASC-US\1854.png,ASC-US
28-05-2024\ASC-US\1855.png,ASC-US
28-05-2024\ASC-US\1856.png,ASC-US
28-05-2024\ASC-US\1857.png,ASC-US
28-05-2024\ASC-US\1858.png,ASC-US
28-05-2024\ASC-US\2458.png,ASC-US
28-05-2024\ASC-US\2459.png,ASC-US
28-05-2024\ASC-US\2460.png,ASC-US
28-05-2024\ASC-US\2461.png,ASC-US
28-05-2024\ASC-US\2503.png,ASC-US
28-05-2024\ASC-US\2504.png,ASC-US
28-05-2024\ASC-US\2505.png,ASC-US
28-05-2024\ASC-US\2733.png,ASC-US
28-05-2024\ASC-US\2750.png,ASC-US
28-05-2024\ASC-US\2753.png,ASC-US
28-05-2024\ASC-US\2768.png,ASC-US
28-05-2024\ASC-US\2869.png,ASC-US
28-05-2024\ASC-US\2870.png,ASC-US
28-05-2024\ASC-US\2874.png,ASC-US
28-05-2024\ASC-US\2875.png,ASC-US
28-05-2024\ASC-US\2909.png,ASC-US
28-05-2024\ASC-US\2929.png,ASC-US
28-05-2024\ASC-US\2930.png,ASC-US
28-05-2024\ASC-US\2931.png,ASC-US
28-05-2024\ASC-US\2932.png,ASC-US
28-05-2024\ASC-US\2939.png,ASC-US
28-05-2024\ASC-US\2940.png,ASC-US
28-05-2024\ASC-US\2946.png,ASC-US
28-05-2024\ASC-US\2947.png,ASC-US
28-05-2024\ASC-US\2948.png,ASC-US
28-05-2024\ASC-US\3018.png,ASC-US
28-05-2024\ASC-US\3019.png,ASC-US
28-05-2024\ASC-US\3024.png,ASC-US
28-05-2024\ASC-US\3025.png,ASC-US
28-05-2024\ASC-US\3026.png,ASC-US
28-05-2024\ASC-US\3027.png,ASC-US
28-05-2024\ASC-US\3028.png,ASC-US
28-05-2024\ASC-US\3029.png,ASC-US
28-05-2024\ASC-US\3030.png,ASC-US
28-05-2024\ASC-US\3070.png,ASC-US
28-05-2024\ASC-US\3071.png,ASC-US
28-05-2024\ASC-US\3072.png,ASC-US
28-05-2024\ASC-US\3073.png,ASC-US
28-05-2024\ASC-US\3109.png,ASC-US
28-05-2024\ASC-US\3110.png,ASC-US
28-05-2024\ASC-US\3111.png,ASC-US
28-05-2024\ASC-US\3112.png,ASC-US
28-05-2024\ASC-US\3113.png,ASC-US
28-05-2024\ASC-US\3150.png,ASC-US
28-05-2024\ASC-US\3151.png,ASC-US
28-05-2024\ASC-US\3152.png,ASC-US
28-05-2024\ASC-US\3153.png,ASC-US
28-05-2024\ASC-US\3170.png,ASC-US
28-05-2024\ASC-US\3171.png,ASC-US
28-05-2024\ASC-US\3210.png,ASC-US
28-05-2024\ASC-US\3211.png,ASC-US
28-05-2024\ASC-US\3212.png,ASC-US
28-05-2024\ASC-US\3213.png,ASC-US
28-05-2024\ASC-US\3214.png,ASC-US
28-05-2024\ASC-US\3225.png,ASC-US
28-05-2024\ASC-US\3248.png,ASC-US
28-05-2024\ASC-US\3249.png,ASC-US
28-05-2024\ASC-US\3250.png,ASC-US
28-05-2024\ASC-US\3418.png,ASC-US
28-05-2024\ASC-US\3419.png,ASC-US
28-05-2024\ASC-US\3511.png,ASC-US
28-05-2024\ASC-US\3512.png,ASC-US
28-05-2024\ASC-US\3513.png,ASC-US
28-05-2024\ASC-US\3514.png,ASC-US
28-05-2024\ASC-US\3520.png,ASC-US
28-05-2024\ASC-US\3521.png,ASC-US
28-05-2024\ASC-US\3558.png,ASC-US
28-05-2024\ASC-US\3559.png,ASC-US
28-05-2024\ASC-US\3664.png,ASC-US
28-05-2024\ASC-US\3673.png,ASC-US
28-05-2024\ASC-US\3674.png,ASC-US
28-05-2024\ASC-US\3690.png,ASC-US
28-05-2024\ASC-US\3709.png,ASC-US
28-05-2024\ASC-US\3758.png,ASC-US
28-05-2024\ASC-US\3761.png,ASC-US
28-05-2024\ASC-US\3785.png,ASC-US
28-05-2024\ASC-US\3786.png,ASC-US
28-05-2024\ASC-US\3797.png,ASC-US
28-05-2024\ASC-US\3798.png,ASC-US
28-05-2024\ASC-US\3802.png,ASC-US
28-05-2024\ASC-US\3803.png,ASC-US
28-05-2024\ASC-US\3844.png,ASC-US
28-05-2024\ASC-US\3853.png,ASC-US
28-05-2024\ASC-US\3915.png,ASC-US
28-05-2024\ASC-US\3916.png,ASC-US
28-05-2024\ASC-US\3937.png,ASC-US
28-05-2024\ASC-US\3938.png,ASC-US
28-05-2024\ASC-US\4053.png,ASC-US
28-05-2024\ASC-US\4054.png,ASC-US
28-05-2024\ASC-US\4055.png,ASC-US
28-05-2024\ASC-US\4056.png,ASC-US
28-05-2024\ASC-US\4271.png,ASC-US
28-05-2024\ASC-US\4272.png,ASC-US
28-05-2024\ASC-US\4273.png,ASC-US
28-05-2024\ASC-US\4274.png,ASC-US
28-05-2024\ASC-US\4275.png,ASC-US
28-05-2024\ASC-US\4276.png,ASC-US
28-05-2024\ASC-US\4277.png,ASC-US
28-05-2024\ASC-US\4284.png,ASC-US
28-05-2024\ASC-US\4285.png,ASC-US
28-05-2024\ASC-US\4286.png,ASC-US
28-05-2024\ASC-US\4287.png,ASC-US
28-05-2024\ASC-US\4288.png,ASC-US
28-05-2024\ASC-US\4289.png,ASC-US
28-05-2024\ASC-US\4290.png,ASC-US
28-05-2024\ASC-US\4291.png,ASC-US
28-05-2024\ASC-US\4292.png,ASC-US
28-05-2024\ASC-US\4293.png,ASC-US
28-05-2024\ASC-US\4294.png,ASC-US
28-05-2024\ASC-US\4295.png,ASC-US
28-05-2024\ASC-US\4350.png,ASC-US
28-05-2024\ASC-US\4390.png,ASC-US
28-05-2024\ASC-US\4391.png,ASC-US
28-05-2024\ASC-US\4402.png,ASC-US
28-05-2024\ASC-US\4451.png,ASC-US
28-05-2024\ASC-US\4460.png,ASC-US
28-05-2024\ASC-US\4461.png,ASC-US
28-05-2024\ASC-US\4462.png,ASC-US
28-05-2024\ASC-US\4463.png,ASC-US
